birth	death	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR
1929	1991			1										
1924	2002	1		1										
1932	2004	1												
1932	2006	3												
1969	2006					1								
1966	2009					1								
1920	1999			2										
1925	1993			2										
1925	1989	1	1	2										
1975	2009					1								
1952	2009		7		1	3								
1947	1979		1											
1951	2009		4											
1921	2004			1										
1838	1920													1
1935	1996	1	1											
1936	2006	2	1											
1915	1997	1		2										
1953	2009		6		1									
1919	2009	2	1	9										
1839	1918													1
1904	1972			1										
1845	1912													1
1923	1998			1										
1928	1997	2	1	1										
1946	1998		2											
1912	1998			2										
1925	2001	1												
1841	1905													1
1924	1998			2										
1919	1998			1	1									
1932	1997	2												
1926	1986			2										
1910	1998			1										
1899	1957						1							
1915	1981			2										
1925	1998			1										
1916	1981			1										
1924	1989	1	1	1										
1940	1999				1									
1935	1997	1												
1915	1995			1										
1929	1983	2												
1841	1914													1
1938	1998	1												
1921	1998			3										
1964	2009					1								
1958	2009		1		2									
1942	2004				1									
1943	1998		1											
1967	2007					5								
1933	2003	1	1											
1961	2009				3									
1896	1966						1							
1927	2005	1		2										
1928	2002			2										
1957	2009		1		3									
1910	2009			1										
1915	1996			1										
1926	2000			1										
1912	2009			1										
1839	1927													1
1933	1996	1												
1842	1927													1
1923	2001			4										
1934	1997	1												
1918	2004			2										
1936	2005	1	3											
1935	1992	1												
1912	2004			1										
1960	2009				1									
1953	1998		1											
1924	1991			2										
1931	1994	1		1										
1918	1976			1										
1969	2009					1								
1926	2001			2										
1918	1980			1										
1920	1988			1										
1921	1997			1										
1922	1994	1	1	2										
1922	2002			1										
1848	1912													1
1916	1989	1		1										
1927	1986	1	1	1										
1844	1914													1
1907	1982			1										
1917	1973			2										
1846	1916													1
1925	1990				1									
1949	1995		1											
1916	1980			2										
1946	1990		1											
1908	2007	2		2										
1929	1987	1												
1921	1991			1										
1923	1979			3										
1916	1991			2	1									
1912	1979			1										
1910	1993			1										
1917	1995			1										
1925	1984			1										
1930	1996	1	1											
1838	1907													1
1897	1986						1							
1926	1982			1										
1926	1996	1	1	2										
1914	1996			1										
1973	2008					1								
1962	2009				1									
1837	1906													1
1957	2004		1											
1923	2005			1										
1858	1905													1
1934	2005	2	1											
1985	2008					2							1	
1850	1931													1
1913	1981			1										
1911	1992			1										
1931	1993	2	1	1										
1866	1930									1				
1926	1992			1										
1986	2007					1		1						
1909	2009			1										
1910	2007			4										
1982	2009							1						
1845	1932													1
1928	1994			1										
1911	1999			1										
1936	2003	1												
1963	2009				1									
1981	2006					1								
1907	2007			1										
1927	2004			1										
1948	2001		2											
1929	1997	1		1										
1965	2009				1									
1907	1985			1										
1922	1986	1		2										
1923	1980			3										
1843	1922													1
1916	1984			2										
1841	1926													1
1917	1999			1										
1837	1911													1
1927	1993			2										
1974	1985			1										
1926	2003	1		3										
1919	1979			1										
1863	1907													1
1899	1986			1			1							
1918	1987			1										
1833	1914													1
1940	1992		2											
1892	1892						1							
1921	1993			3										
1847	1923													1
1928	2005	1		1										
1929	1989	1			1									
1907	1992			1										
1952	1998		1											
1922	1996	1		1										
1896	1974						1							
1934	2006	3	2		1	1								
1924	1985			2										
1927	1987			1										
1970	2007				2	1								
1961	2006				1									
1930	2001	1			1									
1908	2008	1		2										
1920	2004	1	1	3										
1938	2002	1	1											
1967	2008				2	1								
1899	1971			1										
1919	2005	1	1	2										
1982	2007							2						
1952	2006		1											
1878	1964									1				
1881	1973						1							
1907	1972			2										
