birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1844	1916	6													6										
1916	1978	3844	422	164	3638	94		9			2														
1942	1976	355		265	10	79		1																	
1928	1986	3842	2534	492	1416	183		4																	
1840	1928	7				2									5										
1908	1998	1608	221	59	1559	40		1									1								
1936	2002	4609	1670	1410	2	1902	33			1		5	6			1									
1920	1986	7864	963	347	7588	148		7			1				1										
1926	1984	4217	1155	336	3447	98		7																1	
1922	1998	11923	1864	875	11638	86																			1
1842	1922	15													15										
1924	1998	11111	2022	916	10538	108	2																		
1824	1902	2									1				1										
1844	1924	12				1									11										
1926	1986	4992	1365	375	4147	107		5																	
1836	1920	6				1									5										
1844	1906	10				2									8										
1920	2000	13318	2056	966	13054	90	1					1													
1916	1986	5987	737	236	5788	112		4												1					1
1916	1966	2593	169	46	2307	222		4																	
1934	2004	6318	4128	1456	9	1575	24			1		5	6												
1844	1930	5				1									4										
1962	1992	211	1	1		167	39					3	2			3									
1942	1998	2235	6	1885	2	341	34					4	4												
1834	1904	2													2										
1924	1978	3164	467	184	2842	95		8																	
1930	2002	9287	8553	1642	167	491	18					1	2												
1940	1988	891	11	479	11	395																			
1926	1982	3404	936	269	2815	84		2																	
1846	1914	5				2									3										
1848	1918	3				1									2										
1928	1988	4163	2717	556	1516	208		3																1	
1920	2002	13760	2042	1008	13484	92		1																	
1926	1994	7748	2219	705	6577	117	1					1	1												
1918	1998	10230	1580	716	10013	109																			
1924	1988	7136	1164	406	6624	116		2																	
1974	2006	115				21	64		33					10				1							
1946	1978	433	2	407	3	23																			
1836	1918	9				3									6										
1934	1996	3667	2529	855	9	819	15			1		1				1									
1914	1996	5454	761	307	5299	97						1	1												
1838	1918	5				1									4										
1904	1970	1457	85	12	1273	127		45																	1
1844	1910	11				4									7										
1922	1996	10938	1695	786	10648	108							1												
1944	1996	1801	1	1700		97	31			1		5	5												
1910	1996	2713	365	122	2626	68																			
1924	2000	12489	2268	1016	11887	103	1																		
1840	1904	4				1									3										
1924	1986	6171	984	379	5750	103		8																	
1896	1956	3263	10	1	308	398		2625			3						14								
1936	1996	2786	1074	823	4	1129	15					2	2												
1916	1996	7341	1097	472	7181	107		2																	
1912	1980	3284	315	88	3112	109		5																	
1914	1980	3778	380	104	3597	111		2																	
1940	1996	1774	4	1157	1	609	25			1		4	3												
1912	1994	4009	529	160	3894	83		1																	
1928	1982	2504	1648	288	875	145		1				1												1	
1840	1912	5				2									3										
1942	1996	1867	4	1493		371	25					1	2												
1894	1966	5066	27	4	298	428		4419							1		27								
1926	2000	10689	3008	1045	9121	118						2	2												
1838	1926	2													2										
1840	1926	4				1									3										
1932	1996	5181	4713	885	18	318	11			1		1	1												
1934	2002	5799	3840	1392	11	1416	18			1		2	2												
1934	1990	2322	1639	438	25	488	2					1	1											1	
1910	2004	1231	178	69	1192	27																			
1950	1998	1512		1412	1	84	65			1		8	7												
1918	1976	3615	379	136	3375	110		14																	
1918	1980	4799	521	191	4577	94		8																	
1918	1988	7665	921	354	7429	108		9																1	
1848	1910	2													2										
1842	1914	7				3									4										
1904	1982	1338	151	20	1181	108		44																	1
1916	1970	2891	280	88	2630	165		13																	
1928	1998	7529	5375	1236	2532	344	1	1																	
1844	1914	9													9										
1948	1994	1749		1695	2	44	40			1		6	7			1									
1944	1990	1106	2	1011	6	85	5	1		1		1	3												
1918	1990	8449	1040	395	8152	177	1	11												1					
1920	1978	4161	522	216	3916	99		5																	
1912	1978	2923	261	72	2745	110		9																	
1910	1992	3173	307	80	3035	96		6																	
1838	1906	3													3										
1896	1984	1576	22		212	40		1403									10							1	1
1924	1980	3687	554	201	3376	90		7																1	
1914	1994	5674	790	257	5506	112																		1	
1834	1906	2				1									1										
1956	2002	1168	1	425	1	635	114		3	1		8	12	1		2									
1856	1904	1													1										
1848	1930	4													4										
1866	1928	6				2					3				1										
1922	2000	13109	1972	985	12764	100																			
1910	1998	2514	319	108	2443	56		1																	
1926	2002	11494	3285	1118	9714	137	1																		
1946	2000	3533	1	3434		79	82			6		18	16			3									
1906	1984	2244	177	33	2089	118		14																	
1932	2004	8421	7630	1459	19	518	26					1	1											1	
1922	1978	3539	409	164	3321	85		3																	1
1928	1980	2159	1383	274	763	137		3																	
1916	1982	4821	600	229	4640	102		2																1	
1840	1924	5				1									4										
1914	1998	5349	744	332	5213	78																			
1834	1910	6				3									3										
1862	1906	1													1										
1898	1984	1211	30	2	388	39		881							1		12								
1832	1914	6				1									5										
1892	1992	115			2	2		112									2								
1846	1922	7				1									6										
1906	1992	1750	148	35	1632	95		6																	
1950	1996	1250		1178	1	64	63			2		2	2			1									
1894	1974	3039	23	3	171	143		2761									10								
1922	1984	6201	798	296	5914	102		7																	
1930	2000	8214	7564	1510	168	429	12			1		2	2												
1936	2000	4094	1546	1312	9	1586	18					3	3												
1898	1970	2260	47	1	715	181		1463			1						6								1
1926	1996	8526	2470	798	7194	136						1	1												
1878	1962	434			15	87		155			196						3								
1904	2006	40	7	2	39	1																			
1880	1972	84			7	11		47			23														
1904	1972	1326	83	3	1132	130		45			1														
1920	1990	9523	1189	461	9184	167		6																1	1
1910	1970	2497	163	31	2295	138		7			1														
1902	1972	1103	67	8	809	125		176									1							2	
1896	1962	4852	19	2	507	424		4041			1						10								1
1906	1966	2293	116	9	2004	242		13																	
1908	1972	2467	148	34	2292	122		14																	
1906	1972	2094	113	13	1923	136		13																	
1944	1966	790	1	594	6	187		2																	
1900	1968	1696	30	3	897	214		642							1		1								
1928	1968	1045	472	91	320	226		1																	
1890	1972	1826	6		73	89		1690									7								
1908	1970	2409	152	30	2207	144		12			1														
1922	1988	7762	986	380	7432	115		6												1					
1958	1980	221		5	1	214		1																	
1912	1966	2451	136	24	2188	208		9							1										
1928	1970	1083	596	108	370	129		2							1										
1918	1994	9165	1369	501	8974	113		1																	
1910	1968	2341	122	23	2062	226		11																	
1912	1968	2528	129	28	2225	235		10																	
1912	1970	2525	195	50	2300	147		6																	
1946	1968	1533	3	1300	7	219		4																	
1892	1964	4818	13	1	215	388		4299			2				1		20								
1930	1968	853	538	123	23	205		2																	
1932	1972	745	610	95	11	73		3																	
1916	1972	3117	293	88	2891	116		13							1										
1942	1974	286	2	205	15	64																			
1908	1978	2381	170	35	2254	87		10																	
1894	1970	3857	20		204	206		3505							1		14								
1916	1990	6830	813	281	6574	156		8							1										
1918	1974	3530	325	130	3223	162		23																	1
1924	1976	2810	416	147	2492	78		12																	
1896	1978	2220	28	1	286	83		1915									16								
1926	1980	2961	748	227	2393	88		2			1														
1964	1990	140				114	26																		
1936	1980	672	283	158	4	266							1												
1894	1980	1993	23	2	132	52		1858									8								
1910	1980	2786	232	68	2657	94		3																1	
1908	1980	2527	193	39	2370	108		15																	1
1920	1980	4916	586	223	4687	101		2																	
1952	2002	1830		1571		216	126		1	9		7	9			5									
1944	1976	308		270	4	32		2																	
1918	1982	5495	634	218	5292	101		7							1										
1906	1986	2174	173	34	2046	89		16																1	
1838	1928	3													3										
1904	1962	1430	71	3	1176	198		41																	
1890	1978	960	4		41	39		897			1						3								
1882	1978	40			4	3		32			4						1								
1906	1980	2164	175	30	2006	121		12																	
1922	1982	4977	639	251	4749	97		4																	
1948	1992	1483	7	1421	4	43	18	1				1	2												
1914	1978	3368	369	114	3174	109		7																	
1940	1974	263	6	162	4	92																			
1902	1988	767	75	7	605	73		112																	
1904	1974	1368	90	6	1182	123		43																	
1910	1986	3421	324	105	3257	111		17																	
1972	2006	134				23	91		21					6		2		2							
1922	1946	294	1		245	46		2																	
1976	2006	109				15	61		38					8		2		2	1						
1932	1980	1432	1274	200	21	91		2																	
1934	1980	868	571	153	12	215							1											1	
1892	1980	1312	18	3	87	43		1214									7							1	
1938	1980	431	30	161	2	244																			
1930	1986	3205	2867	450	131	182		1					1												1
1942	1980	383	3	286	4	90																			
1904	1980	1317	121	6	1127	134		37																	
1936	1972	344	89	82	5	173							1												
1906	1962	1897	76	7	1646	210		15												1					
1896	1988	973	13		129	41		850									11							1	
1930	1976	1283	1099	167	46	98		3																	
1910	1990	3233	301	77	3087	106		13																	
1902	1986	840	76	2	678	60		122			1						1								
1918	1972	3266	344	129	3034	117		14			1				1									1	
1894	1978	2307	21	2	151	79		2121									11								1
1896	1960	4105	26	3	398	394		3385			3						20								
1958	1978	195		16	2	177																			
1956	1976	213		96	6	111																			
1922	1986	7165	881	340	6866	128		4																	
1940	1982	448	9	228	4	211																			
1910	1988	3349	341	89	3212	101		4																	
1934	2010	8843	5586	2070	4	2356	50																		
1898	1954	1578	12		385	241		994			2						11								
1894	1960	5028	13	1	271	500		4335			2				1		15								1
1932	1982	1571	1417	208	23	103																		2	
1892	1960	4397	9	1	194	453		3808			3						22		1				2		
1896	1974	2716	29	2	315	129		2313			1						13								
1894	1972	3417	22	2	181	135		3146									17						1		2
1928	1990	4903	3239	597	1715	298		4							1										
1918	1944	2933		1	2583	335		13							1										
1918	2000	10788	1660	767	10545	110																			
1958	1982	214		8	2	203							1												
1930	1972	1047	858	124	56	89		3																	1
1912	1990	4187	438	132	4013	111		6																	
1934	1984	1326	920	266	13	289		1					1												
1948	1978	402	2	378	4	19							1												
1904	1996	580	84	14	536	36		13																	
1938	1996	2154	53	874	3	1239	16					2	2												
1946	1994	1940	2	1891	1	44	30					4	4												
1908	1996	1945	222	62	1873	62		1																	
1962	1988	185		1	2	180						1	1												
1898	1960	2488	29		746	301		1526			1						11						1		
1890	1958	3217	5		125	369		2760			1				1		14							1	
1852	1942	1									1														
1898	1958	2213	16		628	266		1382									10						2		
1950	1994	1207		1127		73	41			1		2	2			3									
1896	1966	4531	25	2	499	385		3758			1						19								2
1906	1996	1266	153	30	1223	37																			
1956	1982	259		92	3	160						1	2												1
1928	2002	9610	6930	1558	3128	430	1			1		3	4												
1914	1976	3198	246	87	3005	108		12																	
1922	1944	4033			3546	479		7							1										
1886	1974	526	1	1	33	44		456			2						1								
1892	1940	76			2	15		59									1								
1952	1992	843	2	705	3	115	31					1	2												
1912	1996	3904	475	171	3784	86																			
1938	1990	1270	82	488	6	714	1						1												
1886	1958	1742	3		56	252		1452			2						4						1		
1940	1992	1310	14	756	5	538	6	1																	
1894	1982	1684	18		106	58		1579							1		8			1				1	
1938	1972	314	14	119	4	179																			
1946	1982	486		467	1	18							1												
1954	1976	279	1	200	4	73		1																	
1900	1980	1224	57	7	682	60		540									3								
1890	1946	952			28	171		753			3				1		4								
1924	1960	938	98	5	746	123		3																	
1908	1988	2685	272	64	2540	117		4																	
1950	1978	348	3	308	1	38																			
1918	1978	3981	446	165	3774	84		7																	1
1934	1970	477	247	93	9	146		1							2										
1906	1970	2244	119	16	2000	189		19			1														1
1918	1962	1981	142	18	1724	181		18							1										
1920	1970	2920	326	125	2661	138		10																	
1878	1972	58			3	6		21			32						1								
1924	1972	2275	343	124	2000	82		11																	
1918	1970	2923	266	95	2671	128		25							1										
1924	1950	640	246		319	116		3																	
1930	1970	913	715	104	33	109		2							1										
1896	1982	1795	17		239	60		1568									12						1	1	1
1928	1962	690	295	21	235	169																			
1916	1964	2417	171	31	2144	210		11																	
1926	1972	1694	388	103	1303	79		2																	
1916	2002	7385	1136	554	7209	93																		1	
1948	1966	316	1	260	9	46													2						
1892	1972	2638	11	1	121	145		2400									7								
1924	1974	2617	345	127	2291	117		9																	
1926	1966	1366	235	61	982	180		4																1	
1878	1948	335			12	100		107			118						3								
1910	1972	2540	183	42	2367	101		10																	
1938	2004	4247	85	1977	6	2202	33			3		7	8												
1908	1994	2289	271	50	2196	81																			
1896	1992	427	3		58	10		378									6							1	
1908	1986	2756	264	57	2622	108		4							1										1
1898	1968	2412	27	1	700	230		1571									14								
1916	1988	6476	767	264	6229	143		9																1	1
1902	2006	13	3		13																				
1912	1964	2446	136	22	2191	207		8																	
1902	1962	1364	62	3	981	194		219																	
1918	1966	2746	235	56	2434	204		17			1				2										3
1896	1968	3912	22		426	355		3215									18							1	1
1946	1970	566	1	530	2	33		1																	
1908	1976	2291	152	32	2126	112		17																	
1916	1968	2731	186	53	2377	246		19							1										
1890	1966	2943	7	1	141	245		2615			1						17								
1932	1966	650	357	107	11	198																			
1890	1970	2098	10	1	79	151		1896			1						7							1	
1906	1978	2079	156	28	1916	120		11																	
1904	1964	1662	81	11	1374	217		54																	
1902	1970	1265	59	4	922	139		205																	
1924	1968	1931	192	67	1572	227		7							1										
1932	1968	731	416	120	13	213		4																	1
1934	1956	236	142		3	92																			
1876	1952	589			10	127		129			333						3								
1936	1976	469	134	123	4	231							1												
1948	1982	458	2	440	1	15																			
1884	1972	206	1		21	29		163			5						3								
1948	1968	1546	6	1367	16	155		3																	1
1888	1974	1011	4		42	70		906			2						4								1
1922	1966	2244	153	55	1962	199		2																	
1902	1976	1030	66	5	783	95		161																	
1940	1984	583	2	303	6	272																			
1888	1964	2954	3		133	265		2615							1		13		1						
1910	1966	2359	131	25	2086	206		11																	1
1948	2004	4533	2	4378		138	114		6	3		11	10			1									
1946	1998	2774	2	2715		49	57			1		3	2												
1912	1984	3885	403	115	3714	106		6																	
1902	1954	573	25		377	101		92																	
1940	1968	332	4	192	4	133																			
1892	1962	4573	20	1	231	424		3998			3				2		23								1
1900	1974	1355	50	3	731	126		535			1						4								
1886	1966	1441	2	1	60	122		1284			1						15								1
1922	1956	714	73		573	94		2																	
1924	1966	1873	184	64	1566	176		7																1	
1918	1986	7143	873	317	6902	130		4				1													1
1914	1962	1864	112	15	1648	174		6																	
1886	1962	1827			78	209		1565			3						6						1		
1912	1962	1866	95	12	1636	192		6			1														
1900	1970	1547	50	7	838	139		617									2								
1912	1976	2752	229	65	2582	101		10																	
1914	1944	1532		2	1325	196		9							1										
1946	2004	5238	2	5084		134	118		6	5		20	20			2									
1916	1998	7659	1134	503	7483	105	1																		
1904	1968	1533	67	6	1255	208		44																	1
1898	1974	1927	24	2	597	128		1247									5								3
1888	1954	2409	3		81	319		2030			1				1		8								
1936	1992	2033	855	490	14	814	4	2				2	2				1								1
1898	1964	3146	23	3	925	263		2115			1						9								
1958	1994	433		5		379	45					3	3			3									
1970	2004	173				20	143		18	1				2		5			1						
1940	2000	2762	14	1926	4	823	27					9	7			1									
1944	1994	1600		1482	2	112	17					2	1			1									
1948	1972	489	1	468	3	17																			
1914	2002	4878	703	324	4741	79																			
1912	1988	4008	416	125	3844	107		7																	
1898	1980	1543	28	4	491	58		1077									14								
1974	2004	103				24	54		30					4		5		5	1						
1944	1992	1337	5	1243	6	81	14																		1
1916	2000	7642	1178	546	7470	101																			
1944	2004	4099	5	3886	1	195	86		1	2		12	10												
1932	2002	7842	7142	1354	17	464	17			1		1	3			1									
1910	1994	3070	371	103	2975	75		1																	
1906	1974	2080	126	23	1866	150		21																1	
1912	1974	2746	206	56	2509	154		10																	
1954	1998	944	1	693		210	70			1		3	3			1									
1912	2002	2809	415	170	2718	64																			
1948	1998	2364	1	2301		51	70	1		1		3	2			1									
1946	1972	476	2	441	3	27		4																	
1970	2002	151				26	122		6	4				1		4		1							
1968	1988	84	1	5	1	78																			
1950	1992	1057	5	961	3	79	20	1				1	1												
1926	1944	979			847	131		1																	
1916	1974	3341	318	98	3068	133		17			2														
1922	1972	2715	315	132	2462	89		9							1										
1950	2004	3095	2	2886		175	144		5	7		12	14	2		4									
1908	2004	597	84	25	579	15		1																	
1908	2000	1285	152	44	1236	39		1																	
1932	1988	2904	2628	397	32	163	1																		
1922	1976	3432	368	145	3169	101		11																	
1894	1986	1075	16		76	32		998									7								
1916	1984	5436	583	209	5217	133		6																	
1866	1956	49				13		9			27				1					1					
1914	1968	2559	151	44	2243	244		10																	
1910	2000	2169	281	92	2095	53																			
1886	1972	691	1		35	40		633			1						3							1	
1906	1982	2232	193	30	2082	109		14																	
1896	1986	1261	15		162	30		1131									9								
1888	1950	1655	3	1	50	243		1365			3						12			1			1		
1914	2000	5214	747	310	5089	90																			
1914	1986	4983	579	186	4792	121		6																1	
1930	1988	3669	3268	522	144	231		2																	1
1946	2002	4322	1	4209		97	101			6		11	10					1							
1920	1972	3184	332	129	2955	113		6																	
1900	1972	1485	72	4	814	120		581									6								
1912	2004	2208	284	111	2124	63									1										
1888	1970	1510	2	1	77	109		1350									5							1	
1896	1976	2438	25	2	267	97		2116									9								1
1884	1954	601			47	136		430			11						5						1		
1884	1966	433	2	2	26	69		346			6						8								
1882	1938	16				6		6			3						1								
1936	2004	5011	1799	1544	3	2101	34		1	1		7	8												
1892	1954	2836	8	1	134	327		2415			3						18								
1908	1966	2358	130	14	2070	233		8																	1
1888	1972	1353	6	1	61	94		1218									4								
1904	1988	1152	112	14	1035	78		35																	
1914	1964	2478	148	27	2211	216		5																	
1966	2004	214				103	96		19	9		1	1	6		4		1	1						
1872	1946	194				67		40			92						1						1		
1868	1950	106	1			24		27			57						1								
1892	1978	1542	14	1	94	57		1415									8								
1888	1960	3049	3	1	125	321		2645							2		9						1		2
1886	1978	261			12	17		238			4						2								
1902	1966	1525	54	5	1093	200		244									1							1	
1894	1976	2528	24	1	138	91		2346			2						9								
1922	1970	2595	286	112	2301	152		5							2										
1920	1982	5697	720	267	5492	103		6																	
1910	1976	2523	178	44	2353	118		8																	
1882	1950	366	2		18	102		219			28						8			1					
1868	1936	21			1	4		3			13														
1958	2004	1050		10		878	140		13	8		15	14	3		3		2	1						
1938	1976	314	21	120	4	172																			
1892	1984	864	11	1	49	15		824			1						8							2	
1906	1976	2010	116	11	1851	119		13																	
1904	1990	997	116	16	889	84		23																	
1840	1910	7				2									5										
1846	1924	4				1					1				2										
1946	1992	1636	7	1562	4	61	22	1		2		5	4			1									
1936	1988	1483	615	383	14	570		2					1											1	
1828	1916	3													3										
1942	2002	3670	6	3079		582	45			2		11	9			1		1							
1844	1922	13				4									9										
1938	1998	2559	57	1137	3	1378	23					1	2												
1902	1984	932	72	4	740	72		147		1							1								
1902	1992	547	59	4	428	53		71									1								
1898	1988	795	25	1	279	30		551									5								
1946	1990	1350	2	1286	8	48	10			1		3	2												
1954	1982	313		209	2	100						1	1												
1942	1988	957	3	743	9	203																			
1956	1992	533		193	2	315	25						1												
1912	2000	3407	470	186	3312	66																			
1902	1974	1056	62	5	782	134		141																	
1904	1976	1260	81	12	1083	111		49									2								
1954	2002	1508	1	1097		347	121			7		11	11			5									
1908	1982	2530	213	34	2386	106		8																	
1902	1964	1545	64	3	1133	170		275																	
