birth	death	total	KOREA	VIETNAM	WORLD WAR II	noWarSpecified	PERSIAN GULF	WORLD WAR I	IRAQ	PANAMA	SPANISH AMERICAN WAR	GRENADA	LEBANON	AFGHANISTAN	CIVIL WAR	SOMALIA	MEXICAN BORDER	KOSOVO	PHILIPPINES	INDIAN WARS	CONFEDERATE STATES	REVOLUTIONARY WAR	MEXICAN WAR	undefined	WAR OF 1812
1918	1946	264			197	61		2			2				1										1
1944	1988	846	1	789	5	51							1												
1976	1994	10				5	5																		
1888	1930	23				10		13																	
1892	1948	1388	1		65	228		1098			7				1		12								
1934	1964	419	160	54	6	203									2										
1944	1978	339	1	311		28																			
1898	1946	539			99	106		340			2				1		2								
1920	1956	822	68	1	684	97		2																	
1912	1948	204			151	43		7			3														
1938	1958	195	16		9	171		1																	
1876	1966	193			3	22		60			113						2								
1898	1940	38			2	7		29																	
1894	1990	469	7		47	9		433									3								
1884	1978	67			4	8		56			1														
1840	1864	16				1									15										
1894	1940	74			5	8		62																	
1894	1924	8				3		5																	
1922	1950	608	187		356	103		2																	
1900	1948	367			156	57		162																	
1914	1946	218			175	40		4																	
1968	1990	93	1	2	1	56	34																		
1936	1960	248	59	15	2	172																			
1882	1964	418	1		31	86		282			33						3								
1962	1984	158	1		2	154						2													
1886	1994	1						1																	
1898	1918	21			1	2		19																	
1950	1968	255	3	208	15	30																			
1958	1986	299		11	3	280	1					2	3												
1934	1966	468	153	113	4	204		2																	
1884	1944	214			15	104		91			8						1								
1896	1934	37			2	5		31																	
1960	1980	157	1	3	3	149							1												
1800	1864	1													1										
1834	1864	4													4										
1956	1980	287	1	103		182							1												
1938	1978	379	27	147	3	210																			
1920	1940	97			82	15																			
1830	1864	4													4										
1958	1988	296		7		287						2	1												
1900	1956	1092	20		508	175		452									1								
1936	1968	377	64	121	3	191																			
1914	1950	425	70		298	69		5																	
1956	1984	319	2	106	2	207				1		2	1												
1946	1974	428	2	395	4	27		2																	
1890	1990	81			5	4		74									3								
1902	1944	170			112	45		13							1										
1966	1986	87	2	1		84																			
1936	1974	378	110	75	4	196		1																	
1844	1862	7				1									5						1				
1826	1896	2													1								1		
1928	1946	87			70	17																			
1950	1974	357	3	313	4	37																			
1844	1864	16				1									14						1				
1896	1942	63			13	10		40									2								
1960	1982	182	2	2	3	171							4												
1960	1978	50	3	3		45																			
1952	1996	979		847		115	55			1		2	2			1									
1894	1996	71	1		5			69																	
1972	1996	62				12	50																		
1960	1996	341				284	54			2		4	3			2									
1934	1968	460	160	115	9	188		1																	
1970	1996	92				16	76									1									
1890	1996	12			1			12									2								
1914	1948	258			190	53		15																	
1880	1960	495			24	123		221			145						3								
1920	1946	286			225	55		6																	
1968	1996	113				25	87			3						1									
1964	1996	158				92	58			5		5	7												
1912	1946	169			136	28		5																	
1892	1996	27	1		4	2		25									1								
1880	1976	30			1	7		14			10						1								
1926	1960	717	143	3	488	108		4																	
1874	1970	29			1	3		14			12														
1968	1986	24	1	1		22																			
1908	1950	450	32		358	62		3																	
1906	1948	291			213	75		4																	
1900	1936	7				1		6																	
1888	1986	151	1		13	3		144									2								
1884	1980	66			3	8		57																	
1888	1996	1						1																	
1898	1942	62			29	9		26																	
1976	1996	33				11	22																		
1904	1946	167			123	39		5																	
1940	1962	225	6	45	2	173		1																	
1904	1948	228			166	52		11																	
1910	1948	247			203	37		7									1								
1826	1864	4				1									3										
1970	1988	24	3	2	2	16				2															
1920	1952	615	96		465	83		2																	
1926	1952	499	152	2	269	92		1																	
1828	1898	1													1										
1884	1964	568	3		45	117		422			12						2								
1870	1958	117			2	25		26			66									1					
1874	1978	5						3			2														
1922	1948	289	1	1	228	52		6			1														
1882	1976	64			9	2		53			5						1								
1824	1862	6													6										
1882	1984	20				1		18			1														
1876	1900	5				1					4														
1904	1940	12			9	3																			
1926	1950	641	283		263	128		3																	
1938	1968	299	7	124	6	166																			
1832	1864	8													8										
1842	1862	16				1									13					2					
1964	1986	124		1	3	115		1				3	1												
1896	1938	50			1	9		40																	
1946	1964	138	1	88	9	40																			
1934	1952	117	85		3	29																			
1890	1944	731	1	1	30	226		474			1						3						1		
1962	1986	138	1			134						1	3												
1938	1960	223	16	14	2	188		3																	
1880	1944	210			7	84		74			47						4								
1926	1948	216	1		165	45		5																	
1898	1948	669	1		149	99		429			2				1		5								
1940	1964	347	4	111	9	225		1																	
1966	1988	112		2		110																			
1874	1966	78			2	10		18			48						1								
1940	1958	68	2	1		65																			
1934	1962	328	126	25	3	176																			
1874	1960	268			4	52		62			159						4			1					
1930	1948	47	1		10	36																			
1876	1958	477	1		9	109		93			274						1						1		
1836	1902	3				1									2										
1902	1948	221			144	52		28																	
1872	1968	27				6		9			13														
1962	1980	27	1	3	1	23																			
1862	1952	26				10		3			14									1					
1864	1966	5				1		1			3														
1948	1976	405	1	375	5	23		1																	
1938	1964	321	14	88	3	221																			
1882	1946	226			7	89		114			17				1		6								
1882	1980	31			2	4		24			2						1			1					
1884	1988	7			1	1		6																	
1940	1960	161	4	12	3	142																			
1928	1954	370	187		100	90		1																	
1896	1932	17				6		11																	
1890	1920	3				1		2																	
1892	1934	42				8		33			1														
1860	1948	13			1	6					6														
1856	1934	2						1			1														
1866	1960	22				4		6			14														
1890	1936	56				13		43									1								
1896	1940	64			1	12		51			1						2								
1880	1956	518	1		23	133		249			133				1		7								
1888	1936	44				8		36																	
1876	1980	3			1	1					1														
1898	1936	21			1	4		16																	
1896	1936	58			1	11		46																	
1964	1982	31	1			24							6												
1908	1948	228			185	43																			
1952	1976	308	3	250	5	50		1																1	
1896	1922	11				5		6																	
1880	1940	27				5		12			10														
1866	1958	30				6		7			18														
1944	1962	77		20	6	49		2																	
1872	1960	180				32		41			108						5								
1814	1862	3													3										
1884	1992	5				1		4																	
1930	1958	360	222		18	125		1																	
1934	1958	241	101		7	133		1																	
1836	1862	7													6						1				
1864	1946	44				17		8			19									1					
1848	1866	1				1																			
1944	2010	6710	2	6353	2	336	130		16			4	5	3											
1900	1918	8	1		3			5																	
1872	1948	213			9	53		61			91						3								
1838	1864	9				1									8										
1892	1932	43			1	8		35																	
1862	1954	29			1	7		8			14														
1884	1936	9				5		4																	
1880	1982	6						6																	
1870	1954	163				42		33			91									1					
1876	1938	43				7		10			28						1								
1922	2010	13907	1966	995	13502	133																			
1900	1938	9				4		5																	
1978	1996	7				2	5																		
1860	1964	1															1								
1910	1946	185	1		141	41		2																	
1868	1952	112				26		29			61						1								
1842	1864	10				1									9					1					
1866	1950	57				18		12			26						1			1					
1868	1956	85			1	18		22			48						1								
1950	1972	363	2	336	4	21																		1	
1942	1960	79	1	6	3	69																			
1904	1934	5			1	2		2																	
1908	1936	3	1		1	2																			
1896	1918	52				16		36																	
1884	1976	112			6	17		84			4						3								
1924	1948	289			227	60		2																	
1926	2008	13085	3637	1229	11068	177	2					1	1												
1906	1998	980	121	30	944	30																			
1904	1998	417	67	16	390	20		8																	
1952	1998	1061		926		113	68			3		4	4												
1918	2010	7178	1046	518	7004	96						1	1												
1976	1998	52				17	35									4									
1886	1926	4				2		2																	
1938	1974	317	26	108	3	182		1																	
1898	1998	79	6		45	1		49																	
1928	1948	120	1		63	56					1														
1964	1998	153		1		96	50			2		4	4			2									
1890	1998	3						3																	
1892	1928	16				1		15																	
1970	1998	92				13	79			3						6									
1900	1998	126	12	2	72	3		60									3								
1966	1998	139		1		72	65			4						2									
1968	1998	105				36	69			4						4									
1916	1946	206			159	40		7																	
1938	1970	256	16	89	1	150		2																	
1892	1998	9						9																	
1882	1940	25				7		16			2														
1902	1998	183	28	1	158	12		20																	
1860	1954	17				5		1			11														
1936	1954	59	35			24																			
1858	1944	12				8					4														
1856	1950	4				1					3														
1884	1938	28				9		17			2														
1978	1998	36				20	16																		
1972	1998	49				13	36									3									
1974	1998	60				13	47									4									
1976	2010	153				20	106		51					19				2							
1872	1964	82			1	12		16			55						1								
1874	1934	30				9		6			15														
1884	1990	5				1		4																	
1956	1974	76	4	43	1	27									1										
1906	1932	3			1	2																			
1882	1986	3						3																	
1860	1946	31			1	14		2			13									1					
1878	1918	6				2		1			2				1										
1904	1936	1				1																			
1876	1930	16				4		3			9														
1928	2010	12384	9032	1972	3650	610	5					3	3												
1864	1956	40				10		11			20														
1886	1988	26			1	1		25																	
1958	1976	73	4	12	2	55																			
1854	1908	1				1																			
1852	1936	3				1					2						1								
1938	1956	99	15			84																			
1906	1942	105			90	14		1																	
1886	1936	48	1			16		29			1						1								
1886	1928	3				1		2																	
1892	1918	45			1	17		27																	
1826	1918	1				1																			
1892	1930	22				5		17																	
1894	1936	58				4		54																	
1894	1998	31	1		3			29									1								
1886	1942	48			8	11		29																	
1870	1934	14				7		3			4														
1886	1986	44	1		5	2		37									1								
22	44	1				1																			
16	42	1				1																			
1876	1898	4				1					3														
1824	1894	1				1																			
1840	1902	3				3																			
1880	1926	12				7		2			3														
1892	1922	8				5		3																	
1914	1936	2				2																			
1886	1918	20			1	9		9							1										
1858	1962	1			1																				
1862	1948	27			2	11		2			12														
1868	1966	10				2		6			2														
1834	1894	1													1										
1912	1940	19			14	5																			
1890	1940	67				16		48			1						3								
1846	1864	4													4										
1898	1938	21				5		16																	
1874	1928	8				5		2							1										
1890	1928	9				2		7																	
1900	1930	6			1	1		4																	
1970	1990	86	1	2	1	39	43			1			1												
1908	1940	14			4	9		1																	
1884	1982	42			6			38			2														
1890	1930	17				4		12							1										
1880	1980	17			2			14			3														
1916	1940	58			46	11		1																	
1862	1934	5				2					1				1					1					
1880	1904	3				3																			
1826	1862	6													6										
1896	1930	18				4		14																	
1838	1878	1																		1					
1832	1862	8				1									7										
1822	1864	3				1									2										
1832	1892	1				1																			
1818	1862	2				1									1										
1900	1934	8			1	3		5																	
1862	1946	27				14		4			7									2					
1820	1862	2													2										
1966	1984	20	2		1	17																			
1834	1900	2				1									1										
1874	1974	7		1		1		1			4														
1878	1932	14				8		1			5														
1810	1864	2				1									1										
1838	1860	3													2						1				
1884	1934	17				6		11																	
1850	1918	2				2																			
1884	1932	11				6		4			2														
1892	1926	13				4		9																	
1874	1968	61			2	13		16			34														
1886	1930	8			1	2		5																	
1840	1898	1													1										
1790	1840	1				1																			
1858	1946	15				9		1			5														
1912	1932	4			3										1										
1878	1934	20				5		6			8				1										
1730	1804	1																				1			
1894	1934	44				8		36																	
1874	1930	6				2		1			3														
1878	1898	4									4														
1898	1916	3				2									1										
1882	1902	1				1																			
1954	1972	86	7	62	6	11																			
1862	1958	13				2		4			7														
1874	1972	15			1	2		2			10														
1868	1932	9				3		1			6						1								
1834	1902	2				2																			
1882	1974	80	2	1	4	10		60			9						1								
1850	1930	2				2																			
1884	1942	36			6	9		21			1														
1886	1932	19				8		9			2														
1802	1862	1													1										
1878	1926	10				3		4			3														
1864	1960	13			1	4		4			4														
1864	1942	4				3					1														
1770	1832	1																				1			
1842	1930	4													4										
1860	1950	21				5		5			10									1					
1870	1938	26				7		2			17														
1882	1930	4				2		2																	
1872	1938	24				6		3			15														
1918	1940	75			65	10																			
1854	1902	2				2																			
1866	1944	59			1	21		6			27						2			3					
1890	1934	35				4		30			1														
1762	1842	1																				1			
1884	1984	23			3	2		19			1						1								
1880	1918	7				2		5																	
1860	1944	24				15					8									1					
1858	1966	1				1																			
1888	1998	2				1		1																	
1876	1974	23	1	2	2	4		3			14														
1900	1940	18			5	5		8																	
1876	1940	35				5		7			23														
1868	1962	30				10		6			15														
1858	1954	5				1		2			2									1					
1866	1942	8			1	2		3			2														
1800	1892	1				1																			
1828	1874	1				1																			
1894	1930	17				4		13																	
1864	1962	11				2		3			7						1								
1880	1934	13				3		7			3						1								
1896	1924	8				5		3																	
1848	1870	1																		1					
1882	1942	20			4	7		10																	
1900	1932	7				3		4																	
1876	1972	37	1		1	6		9			21														
1842	1938	3													3										
1856	1920	3				2		1																	
1826	1898	2				1					1														
1872	1936	23				6		5			12														
1880	1902	2				1					1														
1908	1932	5			3	2																			
1846	1920	3				1									2										
1894	1918	66				21		44							1										
1906	1938	6			1	5																			
1878	1976	15		1		1		10			4						1								
1896	1920	8				2		6									1								
1876	1932	13				5		2			7														
1874	1932	13				4		1			8														
1880	1932	13				6		4			3														
1830	1902	2									1				1										
1846	1934	2													2										
1914	1940	39			31	8																			
1890	1924	8				1		7									1								
1844	1934	4				1									3										
1834	1924	1													1										
1848	1932	2													2										
1884	1926	3				1		2																	
1862	1940	4						1			1									2					
1862	1964	4				3		1																	
1980	1998	8				3	5																		
1854	1936	2									1									1					
1890	1932	23				6		17																	
1880	1922	4				1		2			1														
1880	1924	6				5					1														
1872	1970	10						4			6														
1828	1864	8													8					1					
1876	1906	3				2									1										
1820	1890	2				1									1										
1838	1862	12				2									10					1					
1878	1980	5						4			1														
1864	1948	39				12		12			15						1			1					
1834	1920	1				1																			
1904	1942	84	1		68	16																			
1864	1924	3				2					1														
1892	1924	5				1		4																	
1822	1862	3													3										
1882	1934	9			2	5		3							1										
1868	1958	56				17		8			33														
1880	1942	23			1	8		10			4														
1820	1900	1													1										
1880	1984	7			1			6																	
1824	1866	1				1																			
1846	1900	4				2									2										
1840	1906	6				5									1										
1838	1898	3				2					1														
1864	1952	44				12		7			28									1					
1830	1892	1													1										
1858	1932	2				1					1														
1878	1904	2									1									1					
1878	1922	5				1		1			3														
1860	1880	1				1																			
1868	1928	3				1					2														
1862	1950	38				10		7			19									2					
1818	1888	1													1										
1896	1916	6				1		5																	
1846	1936	6				1									4					1					
1838	1890	2				1									1										
1870	1906	1				1																			
1868	1938	14				6		2			6														
1898	1924	6				2		4																	
1760	1842	1																				1			
1876	1970	39				5		8			26														
1862	1930	2						1			1														
1856	1902	1				1																			
1844	1890	1				1																			
1882	1918	10				7		3																	
1856	1952	5				1		2			3						1								
1844	1942	1													1										
1884	1924	3				1		1							1										
1866	1934	8				2		1			5														
1830	1908	2				1									1										
1808	1896	1				1																			
1876	1922	6				4		1			1														
1882	1928	5				4		1																	
1854	1938	2				1														1					
1848	1938	2													2										
1872	1932	13				2					11														
1880	1916	2						2																	
1842	1898	2				1									1										
1882	1936	16				7		7			2														
1886	1990	9						9																	
1874	1924	5				3		1			1														
1824	1896	1													1										
1876	1978	4				1		2			1														
1912	1930	1				1																			
1856	1936	3				1														2					
1886	1924	7				5		2																	
1842	1860	3													2						1				
1862	1938	7			1	1		1			4						1								
1864	1954	31			1	5		4			19									2					
1898	1930	9				1		8																	
1872	1966	37			2	7		10			20						1								
1888	1914	3				2		1																	
1872	1934	9				4					5														
1870	1904	2				1					1														
1864	1892	1													1										
1842	1876	2													2					1					
1850	1900	1									1														
1842	1890	3				2									1										
1888	1924	9			1	4		3							1										
1910	1940	9			9																				
1872	1972	7				5		1			1														
1894	1916	2						2																	
1844	1896	4				3									1										
1882	1926	5				3		2																	
1870	1932	12				7		2			3														
1836	1864	9										1			8										
1856	1944	9				5		1			2									1					
1872	1928	7				4					2				1										
1878	1978	8			1			3			4														
1860	1938	3				2					1														
1898	1920	5				3		2																	
1846	1904	2				2																			
1876	1924	11				7		1			3														
1868	1964	23				4		8			13														
1866	1966	9			1	1		4			3														
1898	1926	7			1	2		4																	
1832	1856	1																		1					
1880	1906	2				2																			
1854	1942	2				2																			
1850	1944	3				1		1			1														
1904	1924	4				3		1																	
1836	1900	3				2									1										
1874	1926	8				4		1			3				1										
1834	1886	1				1																			
1862	1944	29				13		2			14														
1906	1940	12			9	3																			
1858	1964	2						1			1														
1840	1934	3				1									2										
1880	1928	6				2		2			2														
1858	1948	6				1					5														
1878	1974	23				8		7			8														
1862	1936	6						1			5														
1868	1968	4						3			1														
1872	1916	2				1		1																	
1846	1882	1																		1					
1912	1938	1			1																				
1854	1894	1						1																	
1876	1976	6			1			3			2														
1890	1910	2				1		1																	
1882	1920	2						2																	
1878	1924	4				3					1														
1850	1876	1				1																			
1892	1920	5				3		2																	
1810	1884	1				1																			
1818	1868	1				1																			
1856	1918	3				2					1														
1842	1896	2				1									1										
1910	1936	3	1		1	2																			
1896	1926	8				1		7																	
1830	1894	1													1										
1840	1938	2													2										
1872	1926	6				3		1			1				1										
1872	1912	2				1					1														
1838	1900	2				1									1										
1818	1890	2				1																	1		
1792	1846	1																					1		
1878	1912	1				1																			
1908	1934	3			2	1																			
1854	1930	2				1														1					
1898	1922	3				1		2																	
1876	1920	7				2		2			2				1										
1882	1916	1						1																	
1972	1990	14		2		4	8																		
1882	1988	2						2																	
1886	1920	3						3																	
1900	1926	6			1	3		3																	
1888	1928	10				5		3			1				1										
1842	1900	6				4									2										
1872	1974	2									2														
1848	1936	3				1		1			1				1					1					
1850	1894	1																		1					
1878	1928	9				6		3																	
1954	2010	3272	1	2296		759	334		23	4		2	10	6		2		1	1						
1876	1986	2						2																	
1806	1874	1													1										
1884	1986	12						11									1								
1860	1952	11	1			4		2			4														
1880	1930	10				5		2			3														
1868	1918	1									1														
1870	1928	4						1			4														
1878	1900	3				3																			
1842	1902	1													1										
1836	1908	3													3										
1874	1918	4				1		2			1														
1734	1818	1																				1			
1868	1942	15				3		6			7														
1858	1940	4				1					2				1										
1870	1968	8			1	1		1			5														
1894	1928	14			1	4		10																	
1886	1934	16				2		13			1														
1870	1924	6				3		1			2														
1798	1846	1				1																			
1836	1896	2													2										
1888	1926	8				4		4																	
1822	1890	1				1																			
1890	1926	16				5		11																	
1828	1896	1													1										
1904	1932	4			2	2																			
1872	1976	2						2																	
1864	1964	3						1			2														
1870	1972	1									1														
1856	1948	1						1																	
1832	1902	2				2																			
1886	1922	4				2		2																	
1864	1972	1									1														
1820	1892	1				1																			
1846	1896	1				1																			
1862	1956	9				4		2			3														
1828	1908	1				1																			
1878	1930	16				6		4			6														
1900	1928	2				2																			
1812	1864	2													2										
1870	1966	27				4		10			14						1								
1898	1934	11				3		8																	
1868	1916	2						1			2														
1868	1934	10				3		2			5														
1854	1920	1						1																	
1808	1862	1													1										
1794	1850	1				1																			
1864	1932	1				1																			
1902	1920	1			1																				
1850	1906	3				1									2										
1830	1862	2													2										
1854	1952	2									2														
1882	1932	12				4		6			2														
1876	1984	4						1			3														
1816	1888	2													1								1		
1866	1962	10				4		3			4														
1838	1944	1				1																			
1894	1926	15				4		11																	
1904	1926	1				1																			
1856	1940	2				2																			
1902	1938	1				1																			
1828	1888	1				1																			
1838	1920	2				1									1										
1902	1940	9			4	3		2																	
1902	1936	5				3		2																	
1900	1924	4				3		1																	
1842	1934	2													2										
1846	1938	3	1								1				1										
1856	1926	1				1																			
1860	1942	2			1	1																			
1870	1918	3				1		1															1		
1828	1918	2				1									1										
1822	1884	1													1										
1830	1900	2													2										
1860	1934	4				2					2														
1836	1890	3				1									2										
1910	1932	4	1		2	2		1																	
1882	1908	1				1																			
1844	1946	1																		1					
1862	1928	3				1					2														
1856	1938	2				1					1														
1884	1928	4			1	1		2																	
1828	1860	2													2										
1908	1938	2			1	1																			
1904	1938	3				3																			
1916	1934	4	1	1	3	1																			
1846	1888	1													1										
1842	1946	1						1																	
1870	1900	2				1					1														
1848	1916	1				1																			
1836	1884	1													1										
1878	1910	2				2																			
1810	1888	1				1																			
1862	1912	1													1										
1826	1890	3				2									1										
1858	1938	2				1		1			1														
1888	1922	8				6		2																	
1758	1838	1																				1			
1880	1900	2				1									1										
1838	1886	1													1										
1840	1868	1													1										
1828	1876	2													1					1			1		
1890	1916	5			1			4																	
1838	1896	4				1					1				2										
1832	1922	2													2										
1858	1936	5				4									1										
1884	1918	4						4																	
904	964	1			1																				
1878	1982	4						1			3														
1896	1928	13				6		7																	
1906	2000	743	80	20	716	24																			
1964	2000	199				125	67			5		7	5			5									
1832	1920	1													1										
1846	1940	3				2									1										
1858	1960	3				1		1			1														
1900	2000	70	6		51	4		24									1								
1974	2000	69				27	42									4									
1890	1922	9				2		6									1								
1970	2000	90				22	67			2						3									
1954	2000	1205		882		276	93			5		8	7			3									
1966	2000	152				72	79			5						1									
1854	1878	1				1																			
1980	2000	43				20	23									2									
1962	2000	316				221	79			4		17	12			3									
1978	2000	71		1		33	37									1									
1904	1930	1				1																			
1820	1908	1				1																			
1822	1894	1													1										
1858	1882	1				1																			
1902	2000	97	13	1	83	6		12																	
1968	2000	145				34	110			8						3									
1900	1922	7			2	3		2																	
1976	2000	58				25	33																		
1898	2000	36			19			23									1								
1862	1916	2						1			1														
1836	1860	1																			1				
1866	1908	2				2																			
1822	1898	1													1										
1866	1910	1				1																			
1842	1894	1				1																			
1890	2000	1						1																	
1864	1888	1				1																			
1892	2000	2						2																	
1850	1950	3				1					1									1					
1822	1892	1																					1		
1894	2000	12						12																	
1856	1890	1				1																			
1846	1902	3				2					1														
1896	2000	21	2		5			18																	
1854	1884	1													1										
1860	1928	4				3		1																	
1862	1898	2				2																			
1860	1958	4									4														
1822	1912	1				1																			
1862	1970	1						1																	
1826	1900	1				1																			
1840	1900	4				3									1										
1858	1906	1				1																			
1846	1910	1				1																			
1904	1928	2			1	1																			
1832	1898	2				2																			
1836	1894	1				1																			
1866	1964	9				2		3			4														
1868	1930	5				3		1			1														
1852	1940	1									1														
1834	1878	2				1									1										
1822	1868	1													1										
1798	1894	1																							1
1860	1956	13				2		2			9						1								
1850	1946	2				1														1					
1836	1898	2				2																			
1828	1894	1				1																			
1828	1902	3				2									1										
1842	1888	1				1																			
1870	1920	1				1																			
1852	1926	4				2					2														
1848	1884	1				1																			
1860	1924	3				2					1														
1888	1906	2				1		1																	
1804	1896	1				1																			
1856	1954	5				1					1				1					2					
1972	2000	81				30	51									4		1							
1814	1864	1													1										
1852	1900	2				2																			
1822	1866	1				1																			
1866	1924	2				2																			
1846	1884	1													1										
1848	1924	1													1										
1846	1890	1													1										
1876	1918	4				2		1			1														
1858	1914	2									2														
1820	1912	1				1																			
1916	1936	2	1	1	2																				
1834	1882	1				1																			
1844	1894	2				2																			
1868	1900	1				1																			
1874	1904	1				1																			
1900	1920	3				1		2																	
1844	1876	1													1										
1830	1884	1													1										
1818	1894	1				1																			
1838	1910	4				2									2										
1874	1916	3				2		1			1														
1820	1870	1				1																			
1832	1896	3				2									1										
1874	1908	1				1																			
1876	1908	1				1																			
1844	1874	1				1																			
1864	1974	1				1																			
1838	1874	1													1										
1858	1916	1				1																			
1878	1988	1						1																	
1878	1908	1				1																			
1862	1896	1				1																			
1848	1914	2				2																			
1846	1948	1						1																	
1828	1892	1				1																			
1854	1918	1				1																			
1850	1912	2				2																			
1858	1956	2						1			1														
1832	1894	2				1									1										
1874	1912	2									2														
1858	1958	1						1																	
1844	1882	1													1										
1864	1904	1				1																			
1852	1906	1				1																			
1840	1896	1				1																			
1864	1896	1				1																			
1888	1916	2				1		1																	
1864	1940	4				3					1														
1822	1888	1				1																			
1868	1926	1				1																			
1850	1954	1						1																	
1852	1958	1									1														
1792	1844	1				1																			
1800	1866	1				1																			
1830	1906	1													1										
1874	1910	1									1														
1910	1938	1			1																				
1844	1944	2				1									1										
1862	1924	3									2				1										
1858	1928	1									1														
1812	1880	2				1									1										
1854	1956	2				1		1																	
1882	1990	1						1																	
1786	1872	1				1																			
1836	1916	3				1									2										
1870	1916	1				1																			
1874	1900	1				1																			
1816	1862	3													3										
1774	1828	1																							1
1876	1912	1									1														
1868	1898	3				1					2														
1906	1926	1				1																			
1838	1902	1													1										
1834	1862	2													2										
1874	1984	1						1																	
1920	1938	1			1																				
1902	1922	2			1			1																	
1864	1928	3				1					2														
1860	1932	2						1			1														
1852	1952	1						1																	
1854	1934	1									1														
1876	1916	5				4					1														
1868	1970	2						1			1														
1878	1906	2				2																			
1862	1914	1				1																			
1892	1912	2				1		1																	
1850	1878	1				1																			
1834	1884	1													1										
1832	1872	2				1									1					1					
1850	1902	2				1									1					1					
1844	1902	2				1									1					1					
1832	1908	1													1										
1982	2000	6				5	1																		
1846	1898	1									1														
1802	1868	1																					1		
1816	1872	1													1										
1866	1898	2				2																			
1866	1916	1						1																	
1854	1964	1						1																	
1846	1866	1													1					1					
1864	1968	2			1			1																	
1884	1906	3				3																			
1850	1948	1				1																			
1882	1922	2						1			1														
1872	1924	2				1									1										
1874	1892	1				1																			
1834	1896	1													1										
1848	1946	2									1				1										
1906	1928	2			1	1																			
1848	1902	1				1																			
1866	1968	3				1		2			1														
1872	1920	2				2																			
1872	1890	1				1																			
1874	1906	3				3																			
1838	1892	1				1																			
1838	1866	1													1										
1746	1792	1																				1			
1884	1910	1				1																			
1842	1892	1													1										
1912	1934	1				1																			
1860	1930	2				1		1			1														
1836	1892	1				1																			
1936	2008	6408	2144	2141	5	2670	45			1		6	6												
1870	1926	3						1			1				1										
1822	1904	1				1																			
1880	1988	1						1																	
1862	1962	4				1		3																	
1856	1942	2				1					1														
1860	1960	2						1			1														
1818	1878	1				1																			
1838	1894	1													1										
1836	1866	1													1										
1728	1778	1																				1			
1854	1950	3				2					1														
1830	1876	1													1										
1854	1892	1				1																			
1872	1908	1				1																			
1906	1930	1			1																				
1902	1924	2				2																			
1876	1914	2				2																			
1870	1970	5				1		2			2														
1842	1948	1						1																	
1870	1922	1				1																			
1882	1906	2				2																			
1830	1898	2				2																			
1864	1926	2				1					1														
1886	1916	2						2																	
1834	1852	1													1										
1876	1926	5						1			5														
1874	1980	1						1																	
1878	1902	3				3																			
1850	1910	1				1																			
1854	1946	3				1														2					
1766	1832	1																				1			
1814	1874	1				1																			
1856	1898	2				1					1														
1846	1880	1				1																			
1888	1920	5				4		1																	
1816	1906	1				1																			
1798	1834	1				1																			
1878	1920	4				2					2														
1818	1908	1				1																			
1876	1910	1				1																			
1836	1886	2													2										
1820	1864	2				1									1										
1820	1904	1				1																			
1888	1910	4				3		1																	
1902	1926	1				1																			
1862	1972	1									1														
1816	1858	1				1																			
1884	1908	2				2																			
1902	1934	2				2																			
1872	1904	1				1																			
1852	1934	1				1																			
1862	1932	2				1					1														
1916	1938	2				2																			
1882	1924	3				2					1														
1866	1918	3						2			1														
1870	1908	2				1					1														
1872	1900	1				1																			
1810	1882	1				1																			
1810	1860	1				1																			
1860	1916	1									1														
1862	1960	2						2																	
1906	1934	1				1																			
1868	1976	1						1																	
1854	1954	1				1																			
1856	1912	2				2																			
1854	1962	1						1																	
1808	1864	1													1										
1852	1944	1				1																			
1786	1886	1																							1
1874	1922	1						1																	
1828	1862	2				1									1										
1968	2002	149				39	104		7	8				1		4		1	1						
1848	1954	1				1																			
1980	2002	92				36	41		19					3		2			1						
1898	2002	24	3	1	12			15																	
1868	1972	3						2			1														
1962	2002	364				276	75		5	4		9	10	2		4		1							
1960	2002	584		2		471	100		5	3		9	9	1		3		1							
1904	2002	154	28	10	144	5		3																	
1976	2002	99				23	62		17					2		2		2	1						
1912	1936	1				1																			
1828	1890	1													1										
1902	2002	63	12		56	4		3																	
1896	1914	2						2																	
1972	2002	85				21	59		5					2		2									
1978	2002	91				32	44		18					3		1		3	1						
1982	2002	89				25	39		28					5											
1914	1938	1	1		1																				
1872	1922	3				1		2																	
1836	1946	1						1																	
1974	2002	82				22	53		9					3		3		1	1						
1918	1936	1						1																	
1852	1950	3				1		1												1					
1876	1904	2				2																			
1866	1974	1						1																	
1866	1904	1				1																			
1866	1970	1				1																			
1918	1938	3			1			2																	
1880	1990	1						1																	
1886	1914	1				1																			
1824	1898	2				1									1										
1848	1928	1				1																			
1762	1846	1																				1			1
1866	1900	1				1																			
1878	1984	1						1			1														
1896	2002	4			1			3																	
1890	1912	1				1																			
1874	1976	2						2																	
1826	1882	1													1										
1880	1908	1				1																			
1894	2002	3						3																	
1856	1932	1				1																			
1760	1850	1																				1			
1890	1914	1				1																			
1850	1898	1									1														
1872	1902	1				1																			
1854	1940	1									1														
1882	1992	1						1																	
1834	1926	1				1																			
1824	1892	2													1								1		
1888	1908	1						1																	
1848	1950	1						1																	
1806	1880	1													1										
1846	1876	1													1										
1884	1916	1				1																			
